Идентификатор DOI *,Количество авторов *,Фамилия *,Имя *,Количество аффилиаций *,Аффиляция *,Контрибьюция *,Дата публикации *,Наименование публикации *,Наименование издания *,Библиографическая ссылка *,Вид издания  *
10.1134/S0036029523120091,5,,,1,Moscow,0.0,2023,Statistical Study and Prediction of the Mechanical Properties of Deformed Titanium Alloy Semifinished Products,Russian Metallurgy (Metally),"Egorova Y.B., Moscow Aviation Institute (National Research University), Kononov S.A., Stupino Metallurgical Company, Davydenko L.V., Moscow Polytechnic University, Chelpanov A.V., Moscow Aviation Institute (National Research University), Belova S.B., Moscow Aviation Institute (National Research University) Statistical Study and Prediction of the Mechanical Properties of Deformed Titanium Alloy Semifinished Products 2023 Russian Metallurgy (Metally), 2023 (12), Art. No. nan, pp. 1860-1869",Статья
10.1134/S0036029523700362,3,,,1,"Moscow, Moscow",0.0,2023,Properties of an AlSi10Mg Aluminum Alloy for the Production of a Body-Shaped Part Using an SLM Additive Manufacturing Technology,Russian Metallurgy (Metally),"Strizhevskaya N.O., Moscow Polytechnic University, Gnevashev D.A., Moscow Polytechnic University, Bytsenko O.A., Moscow Aviation Institute (National Research University) Properties of an AlSi10Mg Aluminum Alloy for the Production of a Body-Shaped Part Using an SLM Additive Manufacturing Technology 2023 Russian Metallurgy (Metally), 2023 (13), Art. No. nan, pp. 2253-2261",Статья
10.1016/j.jeurceramsoc.2023.04.056,11,Yudin S., National University of Science and Technology MISIS,2,"Moscow, Moscow Polytechnic University",0.05,2023,"Fabrication of high-entropy carbide ceramics (Ti,Zr,Hf,Nb,Ta)C through low-temperature calcium-hydride reduction of oxides",Journal of the European Ceramic Society,"Yudin S., National University of Science and Technology MISIS, Volodko S., National University of Science and Technology MISIS, Moskovskikh D., National University of Science and Technology MISIS, Alimov I., Tula State University, Guryanov A., Tula State University, Zhevnenko S., National University of Science and Technology MISIS, Guo H., NPU-SAS Joint Research Center, Korotitsky A., National University of Science and Technology MISIS, Sidnov K., National University of Science and Technology MISIS, Roslyakov S., National University of Science and Technology MISIS, Zhang C., NPU-SAS Joint Research Center Fabrication of high-entropy carbide ceramics (Ti,Zr,Hf,Nb,Ta)C through low-temperature calcium-hydride reduction of oxides 2023 Journal of the European Ceramic Society, 43 (12), Art. No. nan, pp. 5108-5116",Статья
10.3103/S0967091223110244,3,,,1,"Moscow, Moscow, Moscow",0.0,2023,Effect of Friction Stir Welding on the Strength of Butt Joints of Aluminum Alloy 1565ch,Steel in Translation,"Ovchinnikov V.V., Moscow Polytechnic University, Parfenovskaya O.A., Moscow Polytechnic University, Gubin A.M., Moscow Polytechnic University Effect of Friction Stir Welding on the Strength of Butt Joints of Aluminum Alloy 1565ch 2023 Steel in Translation, 53 (11), Art. No. nan, pp. 962-969",Статья
10.55908/sdgs.v11i7.972,6,,,1,Moscow,0.0,2023,INTRODUCTION OF ECONOMIC AND LEGAL MEASURES FOR THE DEVELOPMENT OF THE ECOLOGIZATION SYSTEM AT AN ENTERPRISE; [INTRODUÇÃO DE MEDIDAS ECONÔMICAS E JURÍDICAS PARA O DESENVOLVIMENTO DO SISTEMA DE ECOLOGIZAÇÃO NUMA EMPRESA],Journal of Law and Sustainable Development,"Dzhancharov T., Russian State Agrarian University, Rozanova T., Financial University under the Government of the Russian Federation, Pasternak S., Saint-Petersburg Mining University, Dmitrieva O., Moscow Polytechnic University, Romanova A., Russian State Agrarian University, Lebedev K., Russian State Agrarian University INTRODUCTION OF ECONOMIC AND LEGAL MEASURES FOR THE DEVELOPMENT OF THE ECOLOGIZATION SYSTEM AT AN ENTERPRISE; [INTRODUÇÃO DE MEDIDAS ECONÔMICAS E JURÍDICAS PARA O DESENVOLVIMENTO DO SISTEMA DE ECOLOGIZAÇÃO NUMA EMPRESA] 2023 Journal of Law and Sustainable Development, 11 (7), Art. No. e0972, pp. nan-nan",Статья
10.1016/j.matlet.2023.134797,6,Zadorozhnyy M.Y., NUST MISIS,2,"Moscow, Moscow Polytechnic University",0.08,2023,Improvement of strength–ductility balance of Al–Ca–Mn–Fe alloy by severe plastic deformation,Materials Letters,"Rogachev S.O., NUST MISIS, Zavodov A.V., All-Russian Scientific-Research Institute of Aviation Materials (VIAM), Naumova E.A., NUST MISIS, Chernenok T.V., NUST MISIS, Lukina E.A., All-Russian Scientific-Research Institute of Aviation Materials (VIAM), Zadorozhnyy M.Y., NUST MISIS Improvement of strength–ductility balance of Al–Ca–Mn–Fe alloy by severe plastic deformation 2023 Materials Letters, 349 (nan), Art. No. 134797, pp. nan-nan",Статья
10.1007/s11015-023-01600-6,3,,,1,"Moscow, Moscow",0.0,2023,Effects of Uneven Temperature Variations on the Mechanical Properties of a Rolling and Pressing Line Deforming Tool,Metallurgist,"Shatalov R.L., Moscow Polytechnic University, Zagoskin E.E., Moscow Polytechnic University, Medvedev V.A., Bogorodsky branch of JSC NPO Pribor Effects of Uneven Temperature Variations on the Mechanical Properties of a Rolling and Pressing Line Deforming Tool 2023 Metallurgist, 67 (7-8), Art. No. nan, pp. 1086-1092",Статья
10.3390/met13081442,5,"Akopyan T., Letyagin N."," Department of Metal Forming,  Department of Metal Forming",2,"National University of Science and Technology MISiS, Sector of Scientific Activity, National University of Science and Technology MISiS, Sector of Scientific Activity",0.2,2023,Structure Evolution and Mechanical Properties of Sheet Al–2Cu–1.5Mn–1Mg–1Zn (wt.%) Alloy Designed for Al20Cu2Mn3 Disperoids,Metals,"Belov N., Department of Metal Forming, Akopyan T., Department of Metal Forming, Tsydenov K., Department of Metal Forming, Letyagin N., Department of Metal Forming, Fortuna A., Department of Metal Forming Structure Evolution and Mechanical Properties of Sheet Al–2Cu–1.5Mn–1Mg–1Zn (wt.%) Alloy Designed for Al20Cu2Mn3 Disperoids 2023 Metals, 13 (8), Art. No. 1442, pp. nan-nan",Статья
10.1134/S1063778824010496,1,Shmanin E., National University of Science and Technology ‘‘MISIS’’,2,"Moscow, Moscow Polytechnic University",0.5,2023,Simulation Studies of the Lead-Polystyrene SPACAL Prototype for the LHCb ECAL Upgrade II,Physics of Atomic Nuclei,"Shmanin E., National University of Science and Technology ‘‘MISIS’’ Simulation Studies of the Lead-Polystyrene SPACAL Prototype for the LHCb ECAL Upgrade II 2023 Physics of Atomic Nuclei, 86 (6), Art. No. nan, pp. 1444-1449",Статья
10.1134/S1063778823040038,8,,,1,Moscow,0.0,2023,"Numerical Simulations of the Acceleration of Fast Protons and of the Excitation of Nuclear Reactions 11B(p, 3α) and 11B(p, n) 11C at the Intensities of Picosecond Laser Radiation in the Range of 1018-1019 W/cm2",Physics of Atomic Nuclei,"Andreev S.N., Moscow Institute of Physics and Technology (National Research University), Matafonov A.P., Central Research Institute for Machine Building, Tarakanov V.P., Joint Institute for High Temperatures, Belyaev V.S., Central Research Institute for Machine Building, Kedrov A.Y., Central Research Institute for Machine Building, Krainov V.P., Moscow Institute of Physics and Technology (National Research University), Mukhanov S.A., Moscow Polytechnic University, Lobanov A.V., National Research Nuclear University MEPhI) Numerical Simulations of the Acceleration of Fast Protons and of the Excitation of Nuclear Reactions 11B(p, 3α) and 11B(p, n) 11C at the Intensities of Picosecond Laser Radiation in the Range of 1018-1019 W/cm2 2023 Physics of Atomic Nuclei, 86 (4), Art. No. nan, pp. 406-415",Статья
