Идентификатор DOI *,Количество авторов *,Фамилия *,Имя *,Количество аффилиаций *,Аффиляция *,Контрибьюция *,Дата публикации *,Наименование публикации *,Наименование издания *,Библиографическая ссылка *,Вид издания  *
10.7764/Horiz_Enferm.35.1.266-279,6,,,1,Moscow,0.0,2024,AUTOLOGOUS GRAFTS FOR THE PREVENTION OF MUCOSAL DEFECTS IN MAXILLARY UNITARY IMPLANTS: A SYSTEMATIC REVIEW; [INJERTO AUTÓLOGO PARA LA PREVENCIÓN DE DEFECTOS MUCOSOS EN IMPLANTE UNITARIO MAXILAR. REVISIÓN SISTEMÁTICA],Horizonte de Enfermeria,"Carreño-Gutiérrez F., Facultad de Odontología, Becerra-Henríquez J., Facultad de Odontología, Klahn-Acuña B., Facultad de Odontología, Fuentes-Barría H., Facultad de Odontología, Aguilera-Eguía R., Departamento de Salud Pública, Polevoy G., Médico Moscow Polytechnic University AUTOLOGOUS GRAFTS FOR THE PREVENTION OF MUCOSAL DEFECTS IN MAXILLARY UNITARY IMPLANTS: A SYSTEMATIC REVIEW; [INJERTO AUTÓLOGO PARA LA PREVENCIÓN DE DEFECTOS MUCOSOS EN IMPLANTE UNITARIO MAXILAR. REVISIÓN SISTEMÁTICA] 2024 Horizonte de Enfermeria, 35 (1), Art. No. nan, pp. 266-279",Обзор
10.1134/S207511332401009X,3,,,1,Moscow,0.0,2024,Study of the Plasticizer Effect on Technological Properties of Iron-Based Powder Materials Alloyed with Copper,Inorganic Materials: Applied Research,"Eremeeva Z.V., University of Science and Technology MISIS, Ter-Vaganyants Y.S., Moscow Polytechnic University (Moscow Polytech), Korznikov O.V., Machine Building Center SSM-Tyazhmash Study of the Plasticizer Effect on Technological Properties of Iron-Based Powder Materials Alloyed with Copper 2024 Inorganic Materials: Applied Research, 15 (1), Art. No. nan, pp. 178-182",Статья
10.3103/S1068798X24020114,2,"Knelts V.F., Matisen A.B."," Kolomna Institute,  Kolomna Institute",1,"Moscow Polytechnic University, Moscow Polytechnic University",1.0,2024,Decreasing the Toxic Emissions of Medium-Speed Diesel Engines by Design Changes and Adjustments,Russian Engineering Research,"Knelts V.F., Kolomna Institute, Matisen A.B., Kolomna Institute Decreasing the Toxic Emissions of Medium-Speed Diesel Engines by Design Changes and Adjustments 2024 Russian Engineering Research, 44 (2), Art. No. nan, pp. 174-176",Статья
10.32609/j.ruje.10.105745,4,,,1,Moscow,0.0,2024,The impact of foreign investment in financing sustainable development in Sub-Saharan African countries,Russian Journal of Economics,"Alhassan T.F., Moscow Polytechnic University, Ansah E.O., HSE University, Niyazbekova S.U., Financial University under the Government of the Russian Federation, Blokhina T.K., Lomonosov Moscow State University The impact of foreign investment in financing sustainable development in Sub-Saharan African countries 2024 Russian Journal of Economics, 10 (1), Art. No. nan, pp. 60-83",Статья
10.1002/app.55410,3,"Kondratov A.P., Lozitskaya A.V."," Department of Incognitive Technologies,  Department of Incognitive Technologies",1,"Moscow Polytechnic University, Moscow Polytechnic University",0.67,2024,Production and properties of electrically conductive polymer composites reinforced with cotton threads,Journal of Applied Polymer Science,"Kondratov A.P., Department of Incognitive Technologies, Lozitskaya A.V., Department of Incognitive Technologies, Volinsky A.A., Department of Mechanical Engineering Production and properties of electrically conductive polymer composites reinforced with cotton threads 2024 Journal of Applied Polymer Science, 141 (21), Art. No. e55410, pp. nan-nan",Статья
10.1089/ast.2022.0117,7,Karlov S.P., Faculty of Mechanical Engineering,1,Moscow Polytechnic University,0.14,2024,Different Scenarios for the Origin and the Subsequent Succession of a Hypothetical Microbial Community in the Cloud Layer of Venus,Astrobiology,"Kotsyurbenko O.R., Higher School of Ecology, Kompanichenko V.N., Network of Researchers, Brouchkov A.V., Geocryology Department, Khrunyk Y.Y., Department of Heat Treatment and Physics of Metal, Karlov S.P., Faculty of Mechanical Engineering, Sorokin V.V., Research Center of Biotechnology, Skladnev D.A., Network of Researchers Different Scenarios for the Origin and the Subsequent Succession of a Hypothetical Microbial Community in the Cloud Layer of Venus 2024 Astrobiology, 24 (4), Art. No. nan, pp. 423-441",Статья
10.1134/S004057792405009X,1,,,1,Moscow,0.0,2024,On the photon emission by a variable electromagnetic field,Theoretical and Mathematical Physics(Russian Federation),"Skobelev V.V., Moscow Polytechnic University On the photon emission by a variable electromagnetic field 2024 Theoretical and Mathematical Physics(Russian Federation), 219 (2), Art. No. nan, pp. 806-822",Статья
10.1007/s10527-024-10350-x,3,"Arkhipov M.V., Matrosova V.V."," Department of Automation and Control,  Department of Automation and Control",1,"Moscow Polytechnic University, Moscow Polytechnic University",0.67,2024,Control of a manipulation robot interacting with elastic objects using a software module for three-dimensional simulation of multibody mechanical systems,Biomedical Engineering,"Arkhipov M.V., Department of Automation and Control, Kocherevskaya L.B., Moscow Aviation Institute, Matrosova V.V., Department of Automation and Control Control of a manipulation robot interacting with elastic objects using a software module for three-dimensional simulation of multibody mechanical systems 2024 Biomedical Engineering, 57 (6), Art. No. nan, pp. 428-433",Статья
10.3329/bjms.v23i2.72147,1,Polevoy G.G., Department of Physical Education,1,Moscow Polytechnic University,1.0,2024,The development of speed and speed-strength qualities in short-distance runners in complicated training conditions,Bangladesh Journal of Medical Science,"Polevoy G.G., Department of Physical Education The development of speed and speed-strength qualities in short-distance runners in complicated training conditions 2024 Bangladesh Journal of Medical Science, 23 (2), Art. No. nan, pp. 368-376",Статья
10.3390/polym16060774,5,Shchegolkov A.V., Center for Project Activities,1,Moscow Polytechnic University,0.2,2024,Properties of Organosilicon Elastomers Modified with Multilayer Carbon Nanotubes and Metallic (Cu or Ni) Microparticles,Polymers,"Shchegolkov A.V., Institute of Power Engineering, Shchegolkov A.V., Center for Project Activities, Zemtsova N.V., Institute of Power Engineering, Vetcher A.A., Institute of Biochemical Technology and Nanotechnology (IBTN), Stanishevskiy Y.M., Institute of Biochemical Technology and Nanotechnology (IBTN) Properties of Organosilicon Elastomers Modified with Multilayer Carbon Nanotubes and Metallic (Cu or Ni) Microparticles 2024 Polymers, 16 (6), Art. No. 774, pp. nan-nan",Статья
